symbol,date,open,high,low,close,volume,adjusted
MSFT,2020-07-31,204.399994,205.100006,199.009995,205.009995,51248000,203.981583
MSFT,2020-08-03,211.520004,217.639999,210.440002,216.539993,78983000,215.453751
MSFT,2020-08-04,214.169998,214.770004,210.309998,213.289993,49280100,212.220047
MSFT,2020-08-05,214.899994,215,211.570007,212.940002,28858600,211.871811
MSFT,2020-08-06,212.339996,216.369995,211.550003,216.350006,32656800,215.264709
MSFT,2020-08-07,214.850006,215.699997,210.929993,212.479996,27789600,211.414124
MSFT,2020-08-10,211.669998,211.880005,206.350006,208.25,36716500,207.205322
MSFT,2020-08-11,207.160004,207.649994,203.139999,203.380005,36446500,202.359772
MSFT,2020-08-12,205.289993,210.279999,204.75,209.190002,28041400,208.140625
MSFT,2020-08-13,209.440002,211.350006,208.149994,208.699997,22588900,207.653061
MSFT,2020-08-14,208.759995,209.589996,207.509995,208.899994,17958900,207.852066
MSFT,2020-08-17,209.600006,211.190002,208.919998,210.279999,20184800,209.225143
MSFT,2020-08-18,210.529999,212.360001,209.210007,211.490005,21336200,210.429092
MSFT,2020-08-19,211.490005,212.100006,209.25,209.699997,27627600,209.15242
MSFT,2020-08-20,209.539993,215,208.910004,214.580002,26981500,214.019684
MSFT,2020-08-21,213.860001,216.25,212.850006,213.020004,36249300,212.46376
MSFT,2020-08-24,214.789993,215.520004,212.429993,213.690002,25460100,213.132004
MSFT,2020-08-25,213.100006,216.610001,213.100006,216.470001,23043700,215.904755
MSFT,2020-08-26,217.880005,222.089996,217.360001,221.149994,39600800,220.572525
MSFT,2020-08-27,222.889999,231.149994,219.399994,226.580002,57602200,225.988358
MSFT,2020-08-28,228.179993,230.639999,226.580002,228.910004,26292900,228.312271
MSFT,2020-08-31,227,228.699997,224.309998,225.529999,28774200,224.941086
MSFT,2020-09-01,225.509995,227.449997,224.429993,227.270004,25791200,226.676559
MSFT,2020-09-02,227.970001,232.860001,227.350006,231.649994,34080800,231.045105
MSFT,2020-09-03,229.270004,229.309998,214.960007,217.300003,58400300,216.73259
MSFT,2020-09-04,215.100006,218.360001,205.190002,214.25,59664100,213.690552
MSFT,2020-09-08,206.5,210.029999,202.199997,202.660004,52924300,202.130814
MSFT,2020-09-09,207.600006,214.839996,206.699997,211.289993,45679000,210.738266
MSFT,2020-09-10,213.399994,214.740005,204.110001,205.369995,35461500,204.833725
MSFT,2020-09-11,207.199997,208.630005,201.240005,204.029999,33620100,203.497238
